feature,mean_abs_shap
anchor_age,0.5615644960751572
insurance_Medicare,0.2748047452669838
race_BLACK/AFRICAN AMERICAN,0.1987839472393505
admission_type_EU OBSERVATION,0.1868570969120165
gender_M,0.17230360450615265
gender_F,0.17230360450615098
race_WHITE,0.1436152024637014
admission_type_OBSERVATION ADMIT,0.12107399476538813
los_hours,0.10390525527520886
admission_type_EW EMER.,0.09635557219750218
insurance_Private,0.09524755223689045
admission_type_SURGICAL SAME DAY ADMISSION,0.05758445245504706
admission_type_DIRECT EMER.,0.051961285873173176
insurance_nan,0.04930546909192552
lab_urea_nitrogen,0.04666019337231138
